phi,constraint,S_times_Ms,psi_s,regime
0.4533898305084746,0.8,0.4409900909817089,0.2499255282576422,underdriven_or_overconstrained
0.4533898305084746,0.9,0.45975258107769973,0.23160793867850224,underdriven_or_overconstrained
0.4533898305084746,1.0,0.4762631391722423,0.21593286394673694,underdriven_or_overconstrained
0.4533898305084746,1.1,0.490846435664193,0.20231343842861574,underdriven_or_overconstrained
0.4533898305084746,1.2000000000000002,0.5037680891897354,0.19033610714442686,underdriven_or_overconstrained
0.4533898305084746,1.3000000000000003,0.515247504098679,0.17969844504093432,underdriven_or_overconstrained
0.4533898305084746,1.4000000000000001,0.5254674985608204,0.1701725857930018,underdriven_or_overconstrained
0.4533898305084746,1.5000000000000002,0.5345816219259544,0.16158258063863593,underdriven_or_overconstrained
0.4533898305084746,1.6,0.5427197834615574,0.15378976914826967,underdriven_or_overconstrained
0.4533898305084746,1.7000000000000002,0.5499926302591234,0.14668297965534946,underdriven_or_overconstrained
0.4533898305084746,1.8000000000000003,0.5564949870169926,0.14017175991247222,underdriven_or_overconstrained
0.4533898305084746,1.9000000000000001,0.562308584143281,0.13418157560956973,underdriven_or_overconstrained
0.4533898305084746,2.0,0.567504240237563,0.12865032564707465,underdriven_or_overconstrained
0.4533898305084746,2.1,0.5721436221561021,0.12352576184564756,underdriven_or_overconstrained
0.4533898305084746,2.2,0.5762806750642397,0.11876354436031133,underdriven_or_overconstrained
0.4533898305084746,2.3000000000000003,0.5799627924786644,0.11432575312309709,underdriven_or_overconstrained
0.4533898305084746,2.4000000000000004,0.5832317798310633,0.11017973241865073,underdriven_or_overconstrained
0.4533898305084746,2.5000000000000004,0.5861246528488808,0.10629718280479701,underdriven_or_overconstrained
0.4533898305084746,2.6,0.5886743028720877,0.10265343938610394,underdriven_or_overconstrained
0.4533898305084746,2.7,0.5909100542802265,0.09922689235402424,underdriven_or_overconstrained
0.4533898305084746,2.8000000000000003,0.5928581339041645,0.0959985174451356,underdriven_or_overconstrained
0.4533898305084746,2.9000000000000004,0.5945420682201705,0.09295149225534519,underdriven_or_overconstrained
0.4533898305084746,3.0000000000000004,0.5959830209644144,0.09007088028699482,underdriven_or_overconstrained
0.4533898305084746,3.1,0.5972000813400118,0.08734336892206294,underdriven_or_overconstrained
